Channel Name,Total Videos,Total Subscribers,Members Count,AI Generated Content (%),Engagement Score,Content Value Index,Channel ID
Reed-Warren Studios,92,7605709,215889,8,120245.52,8.7,240
Kelly LLC Labs,60,9861412,53642,4,155907.96,4.0,241
Kelly LLC Labs,60,9861412,53642,4,155907.96,4.0,1013
"Cunningham, Jones and Campbell Studios",202,9612575,410522,19,151973.87,18.3,242
"Green, Buchanan and Stevens Studios",341,6592509,341037,0,104226.92,2.8,243
Dean-Phillips Hub,378,1907194,386623,97,30152.55,33.3,244
"Maynard, Watson and Sanders Studios",282,3000735,159233,50,47441.33,29.0,245
"Mejia, Shaw and Cook Network",197,2633820,161203,17,41640.44,11.4,246
"Rogers, Russell and Johnson Labs",182,6576802,3397,19,103978.6,5.7,247
Campos and Sons Labs,217,4607549,236834,23,72844.9,16.7,248
Harper-Jackson Network,63,6422231,372906,34,101534.85,21.4,249
Shelton-Vega Hub,309,3323830,348768,100,52549.43,43.3,250
Wright LLC Network,379,4959365,108406,0,78407.08,14.0,251
"Stein, Fletcher and Morris Studios",253,2746328,407873,91,43419.18,36.4,252
"Ruiz, Bailey and Robertson Labs",134,2261169,424760,13,35748.86,6.699999999999999,253
Jones PLC Labs,439,4253467,129678,19,67246.9,16.9,254
Young Inc Studios,122,9855318,194146,67,155811.62,24.3,255
Lee and Sons Hub,154,2017888,333293,25,31902.61,21.5,256
Gonzalez-Clark Hub,323,6998326,318341,73,110642.85,28.9,257
Hurst and Sons Hub,472,4785775,94399,61,75662.64,30.2,258
Thomas Group Studios,368,3158246,250524,76,49931.56,31.2,259
Marshall-Santana Hub,362,9956433,399045,77,157410.23,33.599999999999994,260
"Tucker, Mcneil and Weeks Network",373,4531344,177475,2,71640.11,6.199999999999999,261
Caldwell-Sparks Network,297,9293326,469075,29,146926.58,12.2,262
Huber-Ryan Labs,165,1884410,254031,21,29792.34,14.7,263
"Pena, Gilmore and Martin Labs",58,4527415,456792,2,71577.99,8.299999999999999,264
Garcia-Wright Labs,189,670569,498826,78,10601.63,24.1,265
"Fisher, Nelson and Jackson Hub",403,2772972,235531,4,43840.42,9.599999999999998,266
Walker-Davis Network,461,7211499,489635,17,114013.1,5.8,267
Callahan LLC Studios,137,9101251,29354,61,143889.89,29.5,268
Johnson Ltd Hub,105,4632061,179047,9,73232.43,9.7,269
Williams Ltd Studios,388,7078713,222587,78,111913.76,31.1,270
Williams Ltd Studios,388,7078713,222587,78,111913.76,31.1,4607
Hoffman PLC Studios,71,6037292,278059,29,95449.0,14.3,271
"Acevedo, House and Arnold Network",376,1425786,19799,80,22541.54,28.9,272
Merritt Inc Hub,358,778466,473677,14,12307.47,17.5,273
Morris-Chapman Labs,339,8769999,144328,46,138652.83,20.8,274
"Marks, Murphy and Morris Studios",207,1834824,318879,6,29008.39,14.4,275
Keith Inc Network,350,4387119,32468,45,69359.92,22.6,276
Tran-Coleman Labs,436,7170220,301979,48,113360.48,20.0,277
"Dougherty, Bailey and Price Studios",186,77415,422842,15,1223.92,14.3,278
"Adams, Ellis and Hernandez Network",96,4517240,223418,65,71417.12,33.5,279
Simon-Wall Hub,435,5229816,251483,34,82682.88,15.8,280
"Stewart, Armstrong and Russell Studios",89,1112081,490710,62,17581.89,18.6,281
Johnston Ltd Network,175,3927690,54555,80,62096.4,38.0,282
"White, Wright and Park Studios",427,9769950,295990,33,154461.96,14.8,283
"Sanchez, Marquez and Stuart Hub",349,6218293,109941,8,98310.61,5.199999999999999,284
Hess and Sons Hub,352,5988669,454543,24,94680.27,19.1,285
Reese Group Labs,55,4144944,103250,64,65531.16,30.4,286
"Manning, Castillo and Jimenez Labs",470,8974644,485467,65,141888.25,32.1,287
"Brown, Powell and Maddox Labs",109,9590245,34005,65,151620.84,32.1,288
Rollins PLC Labs,190,3493297,314930,34,55228.68,12.3,289
"Allen, Harris and Cook Studios",236,5141319,278896,65,81283.75,25.8,290
Moyer-Sullivan Studios,281,3264435,191913,58,51610.4,28.6,291
Butler and Sons Network,85,4057592,333241,2,64150.13,2.7,292
Huff-Bond Labs,469,4240766,183800,76,67046.1,27.0,293
Brown and Sons Studios,77,7810721,196758,45,123486.74,14.2,294
Forbes-Burch Labs,421,9073288,352114,35,143447.8,10.5,295
Villanueva and Sons Labs,197,1056923,360769,58,16709.85,20.2,296
Anderson Ltd Labs,130,2783806,232089,5,44011.7,4.3,297
"Rodriguez, Stout and Short Hub",259,6342354,66072,39,100272.0,15.9,298
Cooper Inc Studios,129,8602233,389668,80,136000.46,36.6,299
Garcia-Gibbs Hub,345,2007052,204468,59,31731.3,19.8,300
Harris-Pierce Labs,168,6162965,464064,83,97435.88,33.3,301
Mcdonald-Burton Studios,101,6069981,10774,63,95965.81,32.2,302
"Heath, Miller and Marshall Network",334,9487322,168569,52,149993.64,27.5,303
"Lewis, Thompson and Schneider Network",227,9050968,117010,74,143094.92,30.6,304
Conley LLC Studios,145,7631391,360328,52,120651.55,22.6,305
Glover Inc Studios,170,207466,368337,9,3280.02,8.299999999999999,306
Glover Inc Studios,170,207466,368337,9,3280.02,8.299999999999999,1745
"Walker, Hodges and Jones Network",100,9931104,389100,67,157009.79,20.8,307
"Garcia, Vasquez and Zavala Hub",453,2072139,7643,87,32760.32,38.0,308
"Buchanan, Stewart and Garcia Studios",148,958500,260910,77,15153.79,30.1,309
Lee and Sons Network,475,4159587,278866,34,65762.66,23.5,310
Lee and Sons Network,475,4159587,278866,34,65762.66,23.5,3483
Schwartz-Sullivan Studios,483,2788527,462975,98,44086.34,32.2,311
"Flowers, Smith and Allen Hub",334,2911735,140199,84,46034.25,27.3,312
"Lindsey, Hunter and Landry Labs",108,9178143,40159,89,145105.55,28.1,313
Frank-King Labs,473,9144212,16149,73,144569.1,28.2,314
Villarreal LLC Labs,420,660597,199707,65,10443.97,30.7,315
"Scott, Cole and Fisher Labs",349,7835635,113604,59,123880.62,21.2,316
Smith Inc Hub,210,7905769,215657,34,124989.44,22.8,317
Smith Inc Hub,210,7905769,215657,34,124989.44,22.8,1099
Smith Inc Hub,210,7905769,215657,34,124989.44,22.8,1746
Smith Inc Hub,210,7905769,215657,34,124989.44,22.8,4762
Acevedo PLC Hub,127,8705774,440150,31,137637.44,18.4,318
"Collins, Avery and Miles Network",395,5146124,372333,4,81359.72,9.599999999999998,319
Nichols PLC Studios,97,740966,88840,76,11714.6,35.4,320
Nguyen Inc Network,426,5719910,322686,91,90431.22,41.3,321
Cochran-Woods Studios,340,3626540,448367,61,57335.24,21.8,322
Jones-Williams Network,482,6139669,253918,68,97067.57,29.5,323
Fletcher-Garcia Hub,442,3865588,424058,61,61114.57,21.8,324
"Sanders, Young and Meyer Hub",116,8709444,120940,32,137695.46,11.7,325
Green LLC Labs,97,5364946,299368,27,84819.27,8.799999999999999,326
Green LLC Labs,97,5364946,299368,27,84819.27,8.799999999999999,3220
"Hartman, Cole and Brown Network",388,4381780,212684,15,69275.51,10.8,327
White-Edwards Labs,451,5497315,152464,96,86912.01,40.0,328
Smith Ltd Studios,459,8346808,279436,15,131962.22,18.5,329
Lopez Group Labs,281,7624050,38621,36,120535.49,22.7,183
Lopez Group Labs,281,7624050,38621,36,120535.49,22.7,330
Lopez Group Labs,281,7624050,38621,36,120535.49,22.7,3493
Gordon-Barnes Labs,97,4862996,12302,54,76883.49,19.0,331
Williams Ltd Network,310,6174047,388424,86,97611.08,27.9,332
"Hughes, Dean and Warren Network",311,573927,52018,1,9073.73,6.6,333
Gonzalez and Sons Studios,243,4835236,427786,68,76444.61,21.1,334
"Graves, Thomas and Rivera Studios",374,4806971,76882,5,75997.74,11.3,335
Smith-Schneider Labs,60,778408,214305,5,12306.55,13.4,336
Warner-Lee Hub,266,1094243,313980,91,17299.88,32.9,337
Pace-Calderon Hub,396,1452809,355438,17,22968.77,5.8,338
"Montgomery, Hancock and Lee Labs",227,2515175,179681,37,39764.67,11.1,339
Smith Ltd Hub,255,3111840,494868,4,49197.89,15.2,340
Gordon and Sons Labs,328,4946142,361259,12,78198.02,16.2,341
"Harris, Sanchez and Hamilton Hub",315,6700267,226527,23,105930.57,20.2,342
Buckley-Ward Network,129,3258709,352015,75,51519.87,28.8,343
Carpenter-Howard Studios,306,9882027,182659,40,156233.88,23.2,344
Gonzalez-Myers Labs,251,3896650,102841,24,61605.66,17.0,345
"Hanna, White and Russell Hub",147,2673735,17115,19,42271.49,9.2,346
Carlson-Hill Network,349,8308678,118766,59,131359.39,21.2,347
"Lane, Doyle and King Hub",135,4941295,279053,69,78121.39,21.4,348
Patel-Martinez Studios,411,7107680,187281,95,112371.73,35.5,349
Clay and Sons Studios,238,1612074,167161,60,25486.73,29.9,350
Bautista PLC Network,146,5814614,319464,38,91928.48,20.5,351
Cohen Group Network,455,3248999,386637,22,51366.36,11.5,352
"Anderson, Oliver and Williams Hub",449,2013978,42766,50,31840.8,18.5,353
Montoya Inc Network,233,273465,476092,14,4323.45,7.0,354
Cantu Group Studios,362,4819526,420129,50,76196.24,26.2,355
Fisher-King Labs,357,5710541,159823,27,90283.1,20.0,356
Wilson-Myers Network,167,7505453,290146,87,118660.48,31.0,357
"Woods, Vincent and Anderson Hub",365,7320630,206208,62,115738.45,31.9,358
Garcia PLC Network,467,7802150,342373,69,123351.23,27.0,216
Garcia PLC Network,467,7802150,342373,69,123351.23,27.0,359
Alvarez Ltd Studios,203,2644781,480464,0,41813.73,4.9,360
Lopez Ltd Hub,273,3426320,11830,22,54169.78,19.9,361
